lon,lat,sqft,state_abb,operator,type
-74.49652096447575,40.54425557630532,105786.0,NJ,,building
-81.54651452543965,35.89473769568106,3407194.0,NC,Google,campus
-93.71182964871085,41.51596683171199,11169421.0,IA,Microsoft,campus
-81.26180877040838,35.588771360781784,5431080.0,NC,,campus
-106.54282203991325,35.04994198074902,158463.0,NM,Sandia National Laboratories,building
-77.23645509442149,37.482763284885785,4671056.0,VA,Meta,campus
-74.28548116880219,40.64375303338713,94373.0,NJ,Barclays,building
-76.60643112453295,39.14024170717737,89879.0,MD,AiNET,building
-86.62831680386925,34.84424467802452,14435561.0,AL,Meta,campus
-96.84432644156146,46.81509687104177,25931.0,ND,,building
-77.58237918867958,38.8024111256264,248706.0,VA,Microsoft,building
-120.88638228128598,44.29844323079028,17379079.0,OR,Meta,campus
-120.86588333153831,44.28455821302781,15637431.0,OR,Apple,campus
-97.0410416432689,32.83271789571454,309104.0,TX,Cyxtera,building
-96.81951054637986,32.800943222986994,239835.0,TX,Equinix,building
-71.07975761756323,42.37670588382176,133960.0,MA,,building
-118.23539293645688,34.05810223824728,99270.0,CA,United States Postal Service,building
-96.79843729449848,32.77830147632332,43564.0,TX,,building
-84.31157999997258,39.30389580661304,82813.0,OH,CyrusOne,building
-117.12993394622256,32.827865524456854,83576.0,CA,,building
-117.1693449894231,32.842308661647536,39204.0,CA,EdgeConneX,building
-121.49194609960875,38.6503995314376,204702.0,CA,NTT,building
-121.48918647250004,38.65043183405982,192302.0,CA,NTT,building
-84.26744994290632,34.0822260639216,1294301.0,GA,,campus
-121.7833201255276,37.241586803667886,135022.0,CA,Equinix,building
-84.41211321346512,39.29404817733801,13074.0,OH,,building
-121.98781298697564,37.37343914789955,77132.0,CA,Lumen Technologies,building
-121.95593725165452,37.37881629201175,65471.0,CA,,building
-121.95499188020412,37.378433690080165,81106.0,CA,Equinix,building
-121.95415110304296,37.378039948434136,25031.0,CA,Layer42,building
-121.97361948715526,37.37238819523252,129242.0,CA,Digital Realty,building
-121.96969744738088,37.371519049598696,92193.0,CA,Csquare,building
-121.97269293993044,37.37338590954395,89293.0,CA,Vantage,building
-84.23569669904141,34.09479739753544,127487.0,GA,,building
-84.25175214535511,34.08700522087238,74814.0,GA,Flexential,building
-84.25087563127063,34.09370761226,184012.0,GA,,building
-121.9617004216462,37.36533280955109,80686.0,CA,Cologix,building
-90.197174834978,38.62926158352849,23093.0,MO,,building
-93.28029157225949,44.99145768142225,51180.0,MN,,building
-77.51057747962513,38.80341459582856,52906.0,VA,,building
-77.54111111954948,38.790500006452135,122474.0,VA,Amazon Web Services,building
-77.54000633908686,38.79035015175034,31388.0,VA,Amazon Web Services,building
-77.53827709301147,38.79120375196744,109423.0,VA,Amazon Web Services,building
-84.51789753744696,39.102694860367215,29534.0,OH,CyrusOne,building
-77.594876153305,38.77811126874212,263538.0,VA,Digital Realty,building
-77.43287558139869,39.0216455535984,112726.0,VA,Amazon Web Services,building
-77.43479445422666,39.02156932429181,35700.0,VA,Amazon Web Services,building
-122.93739288182852,45.549583992290586,260339.0,OR,NTT,building
-77.41518975933123,39.02390730425034,79070.0,VA,Centersquare,building
-77.4132010228583,39.02332121207586,89830.0,VA,Centersquare,building
-77.41220365945969,39.02475554990798,135383.0,VA,Centersquare,building
-93.59883127427165,44.85159287119095,135505.0,MN,Flexential,building
-104.97933224935198,39.74523035286353,48787.0,CO,,building
-121.9808693510514,37.39757919675742,146098.0,CA,Csquare,building
-121.98111165280665,37.39861833320087,115693.0,CA,Csquare,building
-121.97830969442312,37.39398377756207,32173.0,CA,Quality Technology Services,building
-121.9717093732258,37.37514209318246,57809.0,CA,CoreSite,building
-121.9720837997304,37.37630188023717,61065.0,CA,CoreSite,building
-121.9718400510976,37.37738265750685,41609.0,CA,CoreSite,building
-121.97068979280724,37.37519609854625,50856.0,CA,CoreSite,building
-121.9696099700251,37.37555851580601,60403.0,CA,CoreSite,building
-121.97839685451906,37.392721680154914,36808.0,CA,Quality Technology Services,building
-77.44176406797281,39.00469915120877,179330.0,VA,Stack Infrastructure,building
-93.25465186805064,44.97130185223087,87697.0,MN,,building
-73.7527452452726,42.64935307487593,15355.0,NY,,building
-83.07698605760793,42.32626638236376,24933.0,MI,Verizon Wireless,building
-70.95247263069143,43.14361852296161,30553.0,NH,University of New Hampshire,building
-77.32729535242555,38.94846385493133,96241.0,VA,Digital Realty,building
-77.32940997255484,38.94881628378597,19325.0,VA,Evocative,building
-77.36454759512179,38.95058588448764,138035.0,VA,CoreSite,building
-77.37236980053557,38.94846756695561,249707.0,VA,CoreSite,building
-70.80804278020655,43.07611925782941,9316.0,NH,FirstLight,building
-104.9956910745452,39.74557178496544,19807.0,CO,,building
-76.9643217094945,39.05856287562289,146301.0,MD,Lincoln Rackhouse,building
-84.22187533686325,39.389018744445785,198403.0,OH,,building
-74.03114084308724,40.79686366512243,68650.0,NJ,Equinix,building
-122.01457953832228,37.41456431406775,122369.0,CA,Equinix,building
-98.4869063933119,29.429371203549056,20898.0,TX,H5 Data Centers,building
-93.63100934776038,41.58799896569892,11253.0,IA,,building
-81.26252687782907,35.588012637841835,564402.0,NC,,building
-73.14729941546844,41.24084597137587,134982.0,CT,Digital Realty,building
-88.21709086831733,41.77216480463177,70123.0,IL,,building
-87.96217216116061,41.9942374288397,469756.0,IL,Digital Realty,building
-93.14746015507276,44.97225309779238,108201.0,MN,H5,building
-112.04132578020344,33.42038002636909,145832.0,AZ,,building
-122.16078171336196,37.44589521919974,12034.0,CA,Equinix,building
-88.24203140069088,40.09525910728646,45620.0,IL,,building
-83.72376141562717,39.912780083635845,79937.0,OH,,building
-87.6299544230129,41.87429345515449,9092.0,IL,Digital Realty,building
-112.0707857401212,33.49433566334995,25456.0,AZ,Lumen Technologies,building
-111.67170400659428,33.30535847275577,14469.0,AZ,,building
-111.67170030901956,33.30627197658142,31625.0,AZ,,building
-87.64014138667577,41.87094383200688,56419.0,IL,Serverfarm,building
-112.11116815143932,33.65904093265778,512814.0,AZ,,building
-77.2258381321817,38.91370196268696,19578.0,VA,,building
-87.6183592533761,41.85365260504632,129156.0,IL,,building
-112.09835688433344,33.68467413549308,110023.0,AZ,Flexential,building
-121.7818392792948,37.24204046852016,166314.0,CA,Equinix,building
-96.05034469682974,41.31800464175668,54386.0,NE,Union Pacific Railroad,building
-80.1901183810463,40.4513685262094,60007.0,PA,,building
-106.61803444531762,34.99544591950108,25568.0,NM,,building
-115.21329217816584,36.06173888983835,378533.0,NV,Switch,building
-115.2102454849461,36.0599251525617,324714.0,NV,Switch,building
-87.9507686963863,42.00077520139855,120191.0,IL,EdgeConneX,building
-77.41151850611422,39.377776311443,64023.0,MD,,building
-74.44309493368364,40.49490313172346,32247.0,NJ,,building
-121.49876273285923,38.64423935185345,151366.0,CA,NTT,building
-95.86382197433596,41.22148561735031,227733.0,IA,,building
-122.390136684847,37.788991656058194,34599.0,CA,Digital Realty,building
-74.07230107005047,40.77860177682814,211455.0,NJ,Equinix,building
-74.06977591206658,40.77642808061452,317271.0,NJ,Equinix,building
-74.06889005365075,40.77485222997869,274326.0,NJ,Equinix,building
-74.07591693201753,40.77741950863346,402960.0,NJ,Equinix,building
-74.06918218107636,40.786164392038,143163.0,NJ,Centersquare,building
-121.48622274444377,38.64634932685158,90196.0,CA,Quality Technology Services,building
-94.67586457208311,39.2906006524332,59078.0,MO,,building
-94.67347189936218,39.29565786992253,240121.0,MO,,building
-94.67802527416188,39.295491746601805,80025.0,MO,,building
-94.68479180000348,39.30240570006526,51140.0,MO,,building
-95.9100313251996,36.262546063389934,414827.0,OK,,building
-88.24360276085451,41.796710709040994,483103.0,IL,CyrusOne,building
-104.83243481918149,39.58830727917688,51338.0,CO,,building
-86.50070264503239,39.17441904078126,94298.0,IN,Indiana University,building
-74.34731684357497,40.52090133887192,829908.0,NJ,,building
-74.45820961832148,40.54921344851484,50646.0,NJ,,building
-74.49202896228643,40.54682624136092,68126.0,NJ,,building
-74.49538057530053,40.544881931883474,62331.0,NJ,Equinix,building
-74.45973725576991,40.5472442650833,352286.0,NJ,Barclays,building
-74.45930065392976,40.5529045023767,302795.0,NJ,Digital Realty,building
-74.4571794816788,40.55377882278532,96114.0,NJ,Digital Realty,building
-122.29056964991396,47.49503090192437,107319.0,WA,,building
-122.28819434180774,47.49485963017309,97862.0,WA,Sabey,building
-121.98840629999836,37.3754951498238,38211.0,CA,Equinix,building
-121.98868795324002,37.37611802320719,26347.0,CA,Equinix,building
-121.98858391314208,37.37652899594956,42360.0,CA,Equinix,building
-121.98850932446408,37.37496213850432,20213.0,CA,Equinix,building
-121.97068417339612,37.37626310504029,51928.0,CA,CoreSite,building
-121.952081932971,37.37700481451302,25424.0,CA,Lumen Technologies,building
-121.95324973327962,37.37501721660046,30065.0,CA,Prime,building
-121.95333535904548,37.37582290579368,57051.0,CA,Digital Realty,building
-121.95314883048796,37.37672946683328,24161.0,CA,,building
-121.95810528697965,37.37828897395487,48539.0,CA,Digital Realty,building
-121.95407689999966,37.374996550088426,24615.0,CA,Digital Realty,building
-121.9559861698452,37.374929097082685,42504.0,CA,Digital Realty,building
-121.95809620000126,37.37502320043753,40287.0,CA,Digital Realty,building
-121.9551929871648,37.37577706129449,27286.0,CA,Csquare,building
-121.95488070140485,37.37502630609213,25825.0,CA,Prime,building
-121.94853104740696,37.3763410080539,44027.0,CA,Digital Realty,building
-121.95068207526988,37.37758479573238,15840.0,CA,Lumen Technologies,building
-121.9483289304616,37.37224989820432,146597.0,CA,Digital Realty,building
-121.9499100438154,37.37977911163557,18864.0,CA,,building
-121.9619460438575,37.389539602058925,51418.0,CA,,building
-87.66900814712955,41.84218652884067,267112.0,IL,Quality Technology Services,building
-87.64550983406528,41.84879669155961,106033.0,IL,Iron Mountain,building
-112.03430310768364,33.42169287468072,38109.0,AZ,,building
-71.20859932011268,42.68570898649228,51354.0,MA,TierPoint,building
-71.30442370850213,42.6302619946922,123665.0,MA,Markley Group,building
-80.93687158006364,35.13543064967395,33741.0,NC,Flexential,building
-111.899226799974,33.344648208315185,67568.0,AZ,Digital Realty,building
-122.31731718771368,47.69332367380439,8025.0,WA,Comcast,building
-77.37742307519908,38.96157142283795,43991.0,VA,,building
-77.64876376105127,38.81506150876172,228140.0,VA,Amazon Web Services,building
-122.35669303335187,47.6177878057982,20600.0,WA,,building
-122.3388642251616,47.61435537680634,13117.0,WA,Digital Realty,building
-77.5318452938603,38.74728120625688,127955.0,VA,,building
-121.9430846177997,37.418407037850685,45282.0,CA,,building
-121.9587992678193,37.36431021578032,57709.0,CA,SV Colo,building
-121.94643635591544,37.3620662092011,166655.0,CA,Microsoft,building
-77.67445377449387,38.747444697578814,85783.0,VA,,building
-104.89748679471974,41.12879048730292,101129.0,WY,University Corporation for Atmospheric Research,building
-122.33646162358502,47.61898482839781,48589.0,WA,H5 Data Centers,building
-121.2013022306046,45.63204799165709,1487396.0,OR,Google,campus
-78.66236321040674,35.7249920936468,46141.0,NC,,building
-77.45900624552966,39.0164707082229,175215.0,VA,Equinix,building
-77.45171989501627,39.01367498906444,83656.0,VA,H5,building
-96.80919489840308,43.60697077791878,55963.0,SD,,building
-77.21161871839628,38.920020715978985,42056.0,VA,Lumen Technologies,building
-77.21358499990595,38.919905150298106,22957.0,VA,DataBank,building
-112.04772494385752,40.5637493311281,183167.0,UT,,building
-87.9728434935898,41.812557111453394,47336.0,IL,Equinix,building
-112.0094263246897,33.41605053769886,79223.0,AZ,,building
-74.17317970568563,40.60738024218361,63435.0,NY,Merrill Lynch,building
-74.17488651961352,40.606985209666014,69999.0,NY,Telehouse,building
-74.00463586981833,40.719998478665225,42396.0,NY,,building
-77.47258021616551,38.91013270273295,72337.0,VA,Digital Realty,building
-90.1964202669285,38.62976100794761,24039.0,MO,,building
-115.07792815622405,36.14473260734884,25884.0,NV,,building
-98.64069026748368,29.44667420261524,127563.0,TX,,building
-98.64112862038242,29.44792213625347,142712.0,TX,,building
-98.64099341797508,29.447199009365736,36014.0,TX,,building
-96.68156543918737,33.09599431363361,121665.0,TX,,building
-96.68376373847305,33.09506355613131,114534.0,TX,Centersquare,building
-95.93649511237068,41.26141936949243,69219.0,NE,,building
-77.4386951674598,37.64689021155886,39778.0,VA,Flexential,building
-77.453440411722,38.89965169321406,85855.0,VA,Amazon Web Services,building
-77.45510184070243,38.89790175442311,30140.0,VA,,building
-77.45407518694847,38.89785914212506,93882.0,VA,Amazon Web Services,building
-77.47224542805822,38.90924510953836,43330.0,VA,,building
-77.47346579109487,38.90979813235743,32222.0,VA,,building
-77.19627275728058,38.75081659536996,56049.0,VA,,building
-84.31955321505815,34.03620188757935,127858.0,GA,,building
-84.42109985598158,33.7776811736858,719736.0,GA,Quality Technology Services,building
-121.98603139645,37.372103697929965,71209.0,CA,Csquare,building
-77.44424695215189,38.98092474637894,130748.0,VA,Centersquare,building
-77.42381651986251,38.98441813209926,48153.0,VA,Centersquare,building
-77.42564884364357,38.98488674675325,127744.0,VA,CyrusOne,building
-77.42410521314366,38.98360375263324,71819.0,VA,Centersquare,building
-84.41520253319351,33.65703230386123,128785.0,GA,Digital Realty,building
-74.02575833881977,40.76076492901499,58356.0,NJ,Cyxtera,building
-74.0250249144998,40.76183107982837,126960.0,NJ,Digital Realty,building
-119.81322935255956,47.24621227884292,151976.0,WA,,building
-119.81318678101924,47.24765247479226,133363.0,WA,,building
-119.81575602489733,47.24616793078344,135310.0,WA,,building
-119.81593119578888,47.24532712863972,4318512.0,WA,Sabey Data Centers,campus
-119.8187531190913,47.25141148987496,2700606.0,WA,Intuit,campus
-119.81966487505578,47.2525738060569,246778.0,WA,,building
-119.82778184700376,47.24698453090597,2171290.0,WA,Yahoo,campus
-119.82886591661293,47.24673555311077,151213.0,WA,,building
-119.8297911817926,47.2459914143102,35848.0,WA,,building
-119.8291703,47.24598939949083,35925.0,WA,,building
-119.82815880653992,47.24598937431324,33824.0,WA,,building
-119.82754149992972,47.24600329947973,33688.0,WA,,building
-119.82866158737184,47.24606673682079,19067.0,WA,,building
-119.86463264336116,47.24435998530277,3068566.0,WA,,campus
-84.48161598883719,33.92551125989177,77660.0,GA,datasite,building
-94.68505095083452,39.290121050497966,30923.0,MO,,building
-122.39793596994734,37.7236016950597,104867.0,CA,Digital Realty,building
-74.0059130609563,40.7165249817088,30791.0,NY,,building
-111.78209278694165,43.8252432321768,18269.0,ID,,building
-112.04789988122732,33.400255234990105,51675.0,AZ,"Cogent Communications, Inc.",building
-96.87306493151615,32.81755909182154,31626.0,TX,CoreSpace,building
-104.8469632823158,39.59013144249605,108473.0,CO,,building
-104.84703864109652,39.591351747526645,62177.0,CO,,building
-122.28973615206532,47.49191977023952,200124.0,WA,Sabey,building
-122.29030164481166,47.493556238112845,203387.0,WA,Sabey,building
-122.28885825770004,47.49341087440766,116828.0,WA,Digital Realty,building
-75.45757328328773,40.635695315852814,48995.0,PA,Flexential,building
-77.46254912313509,39.01790179112408,294156.0,VA,Digital Realty,building
-77.46032653997727,39.01556033255059,59757.0,VA,Equinix,building
-77.46124797924023,39.01598729725932,94665.0,VA,Equinix,building
-77.45880365175545,39.014930750375306,132897.0,VA,Equinix,building
-77.46028710356292,39.021947987272775,186227.0,VA,Equinix,building
-77.45984179886374,39.01993590507545,151562.0,VA,Digital Realty,building
-121.91624119521208,37.40568310648504,89939.0,CA,"CoreSite Real Estate 1656 McCarthy, L.P.",building
-77.45050945562221,38.99378528168933,138071.0,VA,Amazon Web Services,building
-77.44767141862896,38.98872330810434,149598.0,VA,Amazon Web Services,building
-77.44790209132543,38.99463732348249,10175.0,VA,QTS Data Centers,building
-77.46307101056209,39.02011263672101,298859.0,VA,Digital Realty,building
-77.46358953091513,39.02106804323565,226152.0,VA,Digital Realty,building
-77.45759526371418,39.0221725562622,49022.0,VA,Lumen Technologies,building
-77.45360972261447,39.022140336655866,90029.0,VA,Centersquare,building
-77.45486923381064,39.02276445956019,138507.0,VA,NTT,building
-111.88662619785596,33.27497378533701,294678.0,AZ,Digital Realty,building
-111.88590913146852,33.27691083822963,50925.0,AZ,H5,building
-111.88191152923802,33.27085532906607,137355.0,AZ,CyrusOne,building
-77.47539286797381,39.01253746084648,125613.0,VA,Equinix,building
-77.48709346092416,39.00333638342545,134503.0,VA,Digital Realty,building
-77.48544866796638,39.00275165389682,116698.0,VA,Amazon Web Services,building
-77.48334543979661,39.002021512406806,180269.0,VA,Digital Realty,building
-77.48195442999278,39.00275464974417,133113.0,VA,Digital Realty,building
-77.48435473615672,39.00429228111817,114428.0,VA,Digital Realty,building
