region,tech,mw,entry_year,p_cod_3y_mean,p_cod_3y_lo90,p_cod_3y_hi90,p_cod_5y_mean,p_cod_5y_lo90,p_cod_5y_hi90,p_cod_7y_mean,p_cod_7y_lo90,p_cod_7y_hi90,p_withdrawn_5y_mean
CAISO,Solar,50,2020,0.0418,0.0094,0.0666,0.0954,0.0444,0.138,0.1352,0.0815,0.1866,0.5526
CAISO,Solar,50,2021,0.0264,0.0072,0.047,0.0551,0.0257,0.0823,0.0804,0.0426,0.1112,0.5698
CAISO,Solar,50,2022,0.016,0.0056,0.0298,0.0315,0.0166,0.0493,0.0477,0.0266,0.0705,0.566
CAISO,Solar,50,2023,0.0112,0.0044,0.0223,0.0213,0.0124,0.036,0.0333,0.0211,0.0462,0.5584
CAISO,Solar,50,2024,0.0109,0.0045,0.025,0.0203,0.012,0.0359,0.0324,0.023,0.0468,0.5603
CAISO,Solar,50,2025,0.0122,0.0038,0.03,0.0227,0.011,0.0438,0.037,0.0237,0.0617,0.5696
CAISO,Solar,100,2020,0.0256,0.0056,0.0432,0.0753,0.034,0.1105,0.1198,0.0671,0.1652,0.5457
CAISO,Solar,100,2021,0.0157,0.004,0.0275,0.0432,0.0189,0.0633,0.0725,0.0387,0.1021,0.5614
CAISO,Solar,100,2022,0.0099,0.0034,0.0206,0.0249,0.0133,0.0383,0.0435,0.0268,0.0617,0.5564
CAISO,Solar,100,2023,0.0079,0.0036,0.0177,0.0177,0.0112,0.0308,0.031,0.0218,0.0425,0.5479
CAISO,Solar,100,2024,0.0081,0.0039,0.0197,0.0174,0.0112,0.0304,0.0305,0.0242,0.0406,0.5454
CAISO,Solar,100,2025,0.0101,0.0036,0.026,0.0209,0.0113,0.0379,0.0366,0.0257,0.0571,0.5508
CAISO,Solar,200,2020,0.0179,0.0042,0.0283,0.0631,0.0272,0.0955,0.1101,0.0597,0.1551,0.5437
CAISO,Solar,200,2021,0.0109,0.0027,0.0179,0.0373,0.0154,0.0604,0.0693,0.0356,0.1039,0.5549
CAISO,Solar,200,2022,0.0069,0.0024,0.0146,0.0211,0.0109,0.0308,0.0415,0.0265,0.0555,0.5497
CAISO,Solar,200,2023,0.0058,0.0025,0.0134,0.0153,0.0096,0.0256,0.03,0.022,0.0389,0.5414
CAISO,Solar,200,2024,0.0065,0.003,0.0155,0.0156,0.0108,0.0264,0.0298,0.0241,0.0389,0.5387
CAISO,Solar,200,2025,0.0085,0.0034,0.0219,0.0194,0.0116,0.0348,0.0364,0.0269,0.0548,0.537
CAISO,Solar,400,2020,0.0145,0.0044,0.0228,0.0574,0.0252,0.0889,0.1069,0.0556,0.1527,0.5402
CAISO,Solar,400,2021,0.0089,0.0027,0.0154,0.0342,0.014,0.0577,0.0686,0.0351,0.1061,0.5503
CAISO,Solar,400,2022,0.0054,0.0021,0.0115,0.019,0.0099,0.0277,0.041,0.0259,0.0527,0.5472
CAISO,Solar,400,2023,0.0047,0.0019,0.0111,0.0139,0.0084,0.0224,0.0298,0.0213,0.0374,0.5415
CAISO,Solar,400,2024,0.0053,0.0025,0.0118,0.0144,0.0098,0.0225,0.0297,0.0235,0.0384,0.5383
CAISO,Solar,400,2025,0.0068,0.0032,0.0158,0.0177,0.0122,0.0293,0.0359,0.0254,0.0514,0.5295
CAISO,Solar,800,2020,0.0133,0.0051,0.023,0.0545,0.026,0.0807,0.106,0.056,0.1445,0.5397
CAISO,Solar,800,2021,0.0082,0.0027,0.0162,0.0329,0.014,0.0521,0.0696,0.0368,0.1008,0.5479
CAISO,Solar,800,2022,0.0049,0.0019,0.011,0.0187,0.0098,0.0263,0.0429,0.0266,0.0535,0.5481
CAISO,Solar,800,2023,0.0041,0.0016,0.0099,0.0137,0.0082,0.0207,0.0311,0.0216,0.0389,0.5449
CAISO,Solar,800,2024,0.0045,0.0022,0.0097,0.0135,0.0091,0.0194,0.03,0.0221,0.0376,0.5388
CAISO,Solar,800,2025,0.0057,0.0028,0.0126,0.0161,0.0117,0.0256,0.0348,0.0248,0.0477,0.5275
CAISO,Wind,50,2020,0.0461,0.0201,0.0695,0.0886,0.0542,0.1127,0.1205,0.0826,0.1487,0.5319
CAISO,Wind,50,2021,0.0298,0.0112,0.0527,0.0543,0.0315,0.0791,0.0764,0.0558,0.102,0.5523
CAISO,Wind,50,2022,0.0201,0.006,0.0418,0.0359,0.0187,0.0642,0.052,0.0345,0.0798,0.5584
CAISO,Wind,50,2023,0.0145,0.0045,0.0356,0.0265,0.0131,0.0529,0.0403,0.0232,0.0639,0.5558
CAISO,Wind,50,2024,0.0132,0.0037,0.0355,0.0247,0.011,0.05,0.0395,0.0205,0.0607,0.5621
CAISO,Wind,50,2025,0.0123,0.0036,0.033,0.0238,0.0108,0.0449,0.0398,0.0235,0.0602,0.567
CAISO,Wind,100,2020,0.0263,0.0094,0.0478,0.0659,0.0396,0.084,0.1024,0.0729,0.1242,0.5433
CAISO,Wind,100,2021,0.0178,0.0059,0.0374,0.0403,0.0212,0.0641,0.0647,0.0452,0.0887,0.5553
CAISO,Wind,100,2022,0.013,0.0041,0.0315,0.0279,0.0151,0.0518,0.0456,0.0302,0.0719,0.5543
CAISO,Wind,100,2023,0.0099,0.003,0.025,0.0213,0.0106,0.0406,0.036,0.0214,0.0546,0.5499
CAISO,Wind,100,2024,0.0098,0.0026,0.0252,0.021,0.0109,0.0384,0.0365,0.0214,0.0497,0.5525
CAISO,Wind,100,2025,0.0103,0.0032,0.0267,0.0221,0.0102,0.0383,0.0394,0.0252,0.0559,0.5561
CAISO,Wind,200,2020,0.0164,0.0062,0.0308,0.0531,0.0306,0.0707,0.0934,0.0685,0.1194,0.545
CAISO,Wind,200,2021,0.0108,0.0035,0.0231,0.0315,0.016,0.0475,0.0578,0.0408,0.0752,0.554
CAISO,Wind,200,2022,0.0085,0.0025,0.021,0.022,0.0122,0.039,0.0407,0.0291,0.0595,0.5517
CAISO,Wind,200,2023,0.007,0.0019,0.018,0.0176,0.0088,0.032,0.0335,0.0215,0.0484,0.5461
CAISO,Wind,200,2024,0.0072,0.002,0.0178,0.0179,0.0096,0.0298,0.0344,0.0214,0.0419,0.5465
CAISO,Wind,200,2025,0.0085,0.0023,0.0202,0.0205,0.0099,0.0331,0.039,0.0262,0.0517,0.5468
CAISO,Wind,400,2020,0.0124,0.0048,0.0211,0.0474,0.0301,0.0649,0.0904,0.0671,0.1199,0.5453
CAISO,Wind,400,2021,0.0078,0.0027,0.0161,0.0281,0.0156,0.0415,0.0566,0.0415,0.0705,0.5512
CAISO,Wind,400,2022,0.006,0.0017,0.0151,0.019,0.0112,0.0317,0.0391,0.03,0.0536,0.5491
CAISO,Wind,400,2023,0.0053,0.0015,0.0139,0.0155,0.0087,0.0262,0.0322,0.0235,0.0445,0.5454
CAISO,Wind,400,2024,0.0057,0.0018,0.0129,0.016,0.0094,0.0238,0.0331,0.0236,0.0383,0.5464
CAISO,Wind,400,2025,0.0069,0.002,0.0156,0.0186,0.01,0.0298,0.0382,0.0277,0.0508,0.5388
CAISO,Wind,800,2020,0.0106,0.0038,0.0192,0.0439,0.0277,0.0617,0.0898,0.0663,0.1175,0.5449
CAISO,Wind,800,2021,0.0065,0.0022,0.013,0.0263,0.0156,0.0375,0.0574,0.0422,0.0697,0.5485
CAISO,Wind,800,2022,0.0048,0.0015,0.0116,0.0178,0.0115,0.0289,0.0403,0.0308,0.0515,0.5466
CAISO,Wind,800,2023,0.0044,0.0015,0.0115,0.0146,0.0098,0.0244,0.0327,0.0269,0.0435,0.5478
CAISO,Wind,800,2024,0.0045,0.0019,0.0104,0.0147,0.01,0.0205,0.0333,0.0276,0.0381,0.549
CAISO,Wind,800,2025,0.0054,0.0018,0.0108,0.0166,0.0107,0.0235,0.0376,0.0273,0.0484,0.5362
CAISO,Battery,50,2020,0.0204,0.005,0.0374,0.057,0.0271,0.0792,0.0904,0.054,0.1177,0.5706
CAISO,Battery,50,2021,0.0121,0.0034,0.0241,0.0317,0.0171,0.0486,0.0533,0.0353,0.0741,0.5746
CAISO,Battery,50,2022,0.009,0.0028,0.019,0.0209,0.0119,0.0367,0.0355,0.0243,0.0559,0.5666
CAISO,Battery,50,2023,0.0072,0.002,0.0179,0.0156,0.0093,0.0288,0.0263,0.0183,0.0401,0.5586
CAISO,Battery,50,2024,0.0077,0.0022,0.0205,0.0158,0.0094,0.0295,0.0262,0.0175,0.0373,0.561
CAISO,Battery,50,2025,0.0084,0.0022,0.0244,0.0173,0.0101,0.0336,0.0298,0.0176,0.0458,0.5665
CAISO,Battery,100,2020,0.0142,0.0036,0.0251,0.0512,0.0235,0.0717,0.0877,0.0513,0.115,0.5609
CAISO,Battery,100,2021,0.0081,0.0027,0.0166,0.0275,0.0156,0.0404,0.0512,0.0354,0.068,0.565
CAISO,Battery,100,2022,0.0062,0.002,0.0137,0.0179,0.0112,0.0303,0.0343,0.0247,0.0514,0.5589
CAISO,Battery,100,2023,0.0057,0.0015,0.0142,0.0138,0.0082,0.0244,0.0256,0.018,0.0379,0.5522
CAISO,Battery,100,2024,0.0064,0.0018,0.0166,0.0143,0.009,0.025,0.0256,0.0177,0.0334,0.5529
CAISO,Battery,100,2025,0.0075,0.002,0.0207,0.0166,0.0106,0.0321,0.0302,0.0183,0.0459,0.5537
CAISO,Battery,200,2020,0.012,0.0032,0.0195,0.0494,0.0208,0.0677,0.0884,0.0482,0.1247,0.5493
CAISO,Battery,200,2021,0.0063,0.0023,0.012,0.0255,0.0141,0.0354,0.0509,0.0343,0.0683,0.5566
CAISO,Battery,200,2022,0.0048,0.0018,0.0103,0.0162,0.0102,0.0252,0.0339,0.0246,0.0471,0.5536
CAISO,Battery,200,2023,0.0045,0.0012,0.0107,0.0125,0.0077,0.0204,0.0252,0.0188,0.0351,0.5474
CAISO,Battery,200,2024,0.0053,0.0015,0.0135,0.0131,0.0085,0.0215,0.0253,0.0184,0.0306,0.5485
CAISO,Battery,200,2025,0.0067,0.0019,0.0182,0.0158,0.0108,0.0301,0.0303,0.0191,0.0452,0.5451
CAISO,Battery,400,2020,0.0108,0.0034,0.0154,0.0481,0.0201,0.0669,0.089,0.0469,0.1313,0.5383
CAISO,Battery,400,2021,0.0058,0.0022,0.0097,0.0254,0.0136,0.0344,0.0521,0.0332,0.0712,0.5472
CAISO,Battery,400,2022,0.0041,0.0015,0.0084,0.0157,0.0098,0.0223,0.0341,0.0244,0.0446,0.5489
CAISO,Battery,400,2023,0.0038,0.0012,0.0086,0.0118,0.0074,0.0179,0.0254,0.0189,0.0336,0.5451
CAISO,Battery,400,2024,0.0044,0.0014,0.0106,0.0121,0.0078,0.0187,0.0251,0.0183,0.0291,0.5446
CAISO,Battery,400,2025,0.0057,0.0018,0.0148,0.0145,0.0095,0.0263,0.0295,0.0193,0.0423,0.5367
CAISO,Battery,800,2020,0.0101,0.0041,0.0147,0.0457,0.0217,0.0659,0.0874,0.0491,0.1326,0.5285
CAISO,Battery,800,2021,0.0059,0.0025,0.0103,0.0263,0.0143,0.0364,0.0546,0.0334,0.0793,0.5364
CAISO,Battery,800,2022,0.004,0.0018,0.0081,0.0164,0.0102,0.0231,0.0362,0.0238,0.0464,0.5427
CAISO,Battery,800,2023,0.0035,0.0014,0.0074,0.012,0.0076,0.018,0.0268,0.0188,0.0336,0.5432
CAISO,Battery,800,2024,0.0038,0.0014,0.0085,0.0115,0.0073,0.0162,0.0254,0.0183,0.0296,0.5412
CAISO,Battery,800,2025,0.0048,0.0017,0.0117,0.0132,0.0083,0.0222,0.0289,0.0188,0.0392,0.5285
CAISO,Hybrid,50,2020,0.0117,0.004,0.0223,0.0367,0.0215,0.0547,0.0663,0.0448,0.0887,0.5671
CAISO,Hybrid,50,2021,0.0074,0.003,0.0164,0.0208,0.014,0.0338,0.0393,0.025,0.0579,0.5602
CAISO,Hybrid,50,2022,0.0057,0.002,0.0126,0.0145,0.0096,0.0262,0.0272,0.0182,0.0449,0.5516
CAISO,Hybrid,50,2023,0.0053,0.0015,0.0125,0.012,0.0066,0.0213,0.0212,0.0142,0.0326,0.543
CAISO,Hybrid,50,2024,0.0059,0.0015,0.0168,0.0126,0.0067,0.0248,0.0218,0.0138,0.0324,0.5548
CAISO,Hybrid,50,2025,0.0064,0.0016,0.0187,0.014,0.0081,0.0276,0.0251,0.018,0.0391,0.5669
CAISO,Hybrid,100,2020,0.0076,0.0026,0.0138,0.0325,0.018,0.044,0.0669,0.0428,0.0871,0.5519
CAISO,Hybrid,100,2021,0.0047,0.0019,0.0097,0.0176,0.0112,0.0259,0.0385,0.0249,0.0529,0.5464
CAISO,Hybrid,100,2022,0.004,0.0014,0.0089,0.0122,0.0081,0.0205,0.0262,0.0172,0.0398,0.5392
CAISO,Hybrid,100,2023,0.0038,0.0011,0.0095,0.0099,0.006,0.0173,0.0199,0.0136,0.029,0.5319
CAISO,Hybrid,100,2024,0.0046,0.0012,0.0135,0.0109,0.006,0.0212,0.0208,0.0143,0.0299,0.5386
CAISO,Hybrid,100,2025,0.0057,0.0014,0.0171,0.0133,0.0076,0.027,0.0254,0.0184,0.0401,0.5486
CAISO,Hybrid,200,2020,0.0062,0.0019,0.0117,0.0315,0.0158,0.0429,0.0693,0.042,0.0943,0.5401
CAISO,Hybrid,200,2021,0.0036,0.0014,0.007,0.0166,0.0097,0.0227,0.0396,0.0267,0.0512,0.5378
CAISO,Hybrid,200,2022,0.0031,0.0012,0.0067,0.0111,0.0071,0.0171,0.0264,0.017,0.0365,0.5316
CAISO,Hybrid,200,2023,0.0029,0.0009,0.0073,0.0088,0.0056,0.0143,0.0196,0.0145,0.027,0.5254
CAISO,Hybrid,200,2024,0.0036,0.001,0.0101,0.0096,0.0059,0.0168,0.0199,0.0144,0.0255,0.5291
CAISO,Hybrid,200,2025,0.0049,0.0013,0.0148,0.0124,0.0074,0.0248,0.025,0.0171,0.039,0.5335
CAISO,Hybrid,400,2020,0.0057,0.0015,0.0112,0.0317,0.0142,0.0454,0.0722,0.0426,0.0999,0.5289
CAISO,Hybrid,400,2021,0.0033,0.0011,0.0065,0.0167,0.0084,0.0236,0.0411,0.0268,0.0536,0.5326
CAISO,Hybrid,400,2022,0.0026,0.001,0.0059,0.0109,0.0064,0.0173,0.0274,0.0167,0.0364,0.5281
CAISO,Hybrid,400,2023,0.0025,0.0008,0.0061,0.0084,0.0051,0.0141,0.0202,0.0151,0.0268,0.5244
CAISO,Hybrid,400,2024,0.0029,0.001,0.0074,0.0087,0.0057,0.0133,0.0196,0.0147,0.023,0.5244
CAISO,Hybrid,400,2025,0.0042,0.0012,0.012,0.0114,0.0066,0.0214,0.0244,0.0162,0.0361,0.5224
CAISO,Hybrid,800,2020,0.0055,0.0013,0.0109,0.0317,0.0134,0.046,0.0748,0.0446,0.1068,0.5189
CAISO,Hybrid,800,2021,0.0031,0.0009,0.0063,0.0172,0.0077,0.0255,0.0437,0.027,0.0618,0.5265
CAISO,Hybrid,800,2022,0.0023,0.0008,0.0052,0.0108,0.0058,0.0173,0.0288,0.0165,0.0381,0.5269
CAISO,Hybrid,800,2023,0.0022,0.0007,0.0054,0.0083,0.005,0.0135,0.0213,0.0148,0.0273,0.5277
CAISO,Hybrid,800,2024,0.0025,0.0009,0.006,0.0082,0.0054,0.0117,0.0203,0.0159,0.0244,0.5251
CAISO,Hybrid,800,2025,0.0035,0.0011,0.0093,0.0105,0.006,0.0181,0.0245,0.0162,0.0346,0.5167
CAISO,Gas,50,2020,0.1706,0.1188,0.1992,0.2079,0.1531,0.2425,0.2296,0.1724,0.2653,0.514
CAISO,Gas,50,2021,0.129,0.091,0.1632,0.1567,0.1161,0.1978,0.1739,0.1289,0.2175,0.5239
CAISO,Gas,50,2022,0.0865,0.0638,0.1153,0.1069,0.0826,0.1426,0.1212,0.0914,0.1584,0.5314
CAISO,Gas,50,2023,0.0514,0.0315,0.0745,0.0674,0.0426,0.0955,0.0796,0.0525,0.1091,0.5325
CAISO,Gas,50,2024,0.0376,0.0177,0.0722,0.0532,0.0282,0.0893,0.0662,0.0368,0.1016,0.5416
CAISO,Gas,50,2025,0.033,0.013,0.0807,0.0492,0.0235,0.1005,0.0644,0.0314,0.1162,0.5478
CAISO,Gas,100,2020,0.1469,0.1026,0.1833,0.189,0.1387,0.227,0.2151,0.1614,0.2547,0.5147
CAISO,Gas,100,2021,0.1075,0.0685,0.1425,0.1369,0.0929,0.1799,0.1564,0.1053,0.204,0.5248
CAISO,Gas,100,2022,0.0722,0.0406,0.1026,0.0933,0.0564,0.1317,0.1092,0.0642,0.1515,0.5301
CAISO,Gas,100,2023,0.0422,0.0201,0.0643,0.0585,0.0322,0.0858,0.0721,0.0417,0.1015,0.5313
CAISO,Gas,100,2024,0.033,0.013,0.0602,0.0491,0.0253,0.0771,0.0635,0.0344,0.0934,0.5319
CAISO,Gas,100,2025,0.0307,0.0108,0.0718,0.0478,0.0227,0.0927,0.0648,0.0318,0.1105,0.5325
CAISO,Gas,200,2020,0.1084,0.0847,0.1355,0.1553,0.122,0.1831,0.1878,0.1471,0.2182,0.5221
CAISO,Gas,200,2021,0.0832,0.0504,0.1025,0.1144,0.0745,0.1469,0.138,0.0913,0.1785,0.5262
CAISO,Gas,200,2022,0.0564,0.0325,0.0808,0.0781,0.0464,0.1121,0.0964,0.0546,0.1349,0.5276
CAISO,Gas,200,2023,0.0364,0.0182,0.0583,0.0533,0.0313,0.0802,0.0688,0.0417,0.098,0.5285
CAISO,Gas,200,2024,0.0304,0.0129,0.055,0.0468,0.0255,0.0741,0.063,0.0361,0.095,0.5246
CAISO,Gas,200,2025,0.0291,0.0092,0.0664,0.0468,0.0205,0.0876,0.0653,0.0311,0.1085,0.5181
CAISO,Gas,400,2020,0.0772,0.0579,0.1059,0.129,0.0968,0.159,0.1692,0.1256,0.1977,0.5254
CAISO,Gas,400,2021,0.0621,0.0394,0.0867,0.096,0.0634,0.1277,0.1248,0.0822,0.1679,0.527
CAISO,Gas,400,2022,0.0444,0.0274,0.0667,0.0673,0.0418,0.1009,0.089,0.0515,0.129,0.5259
CAISO,Gas,400,2023,0.0331,0.0187,0.0568,0.0511,0.0335,0.078,0.0693,0.0459,0.0995,0.524
CAISO,Gas,400,2024,0.0288,0.013,0.0541,0.0464,0.025,0.0751,0.0651,0.0366,0.0994,0.5181
CAISO,Gas,400,2025,0.0274,0.0092,0.0587,0.0454,0.0202,0.0795,0.0655,0.0317,0.104,0.5068
CAISO,Gas,800,2020,0.0581,0.0393,0.0823,0.1115,0.0829,0.1388,0.1574,0.1148,0.184,0.5253
CAISO,Gas,800,2021,0.0486,0.0287,0.0751,0.0849,0.0581,0.1155,0.1191,0.0803,0.1618,0.5251
CAISO,Gas,800,2022,0.0377,0.0227,0.0644,0.0623,0.0428,0.0969,0.0877,0.0559,0.13,0.5226
CAISO,Gas,800,2023,0.0306,0.0167,0.0576,0.05,0.034,0.0789,0.0706,0.0475,0.1042,0.5211
CAISO,Gas,800,2024,0.0273,0.0133,0.0555,0.0457,0.0258,0.0767,0.0662,0.0385,0.1019,0.514
CAISO,Gas,800,2025,0.0255,0.0096,0.051,0.0438,0.0195,0.0712,0.0655,0.0333,0.0989,0.4995
ERCOT,Solar,50,2020,0.1019,0.0915,0.1112,0.1981,0.1832,0.209,0.2474,0.2358,0.2601,0.5039
ERCOT,Solar,50,2021,0.0995,0.0888,0.1088,0.1948,0.1816,0.2111,0.2431,0.2263,0.2638,0.5041
ERCOT,Solar,50,2022,0.1045,0.0877,0.1165,0.1919,0.1767,0.2198,0.2356,0.217,0.2644,0.5096
ERCOT,Solar,50,2023,0.1067,0.0722,0.1253,0.178,0.1335,0.2146,0.2167,0.1748,0.251,0.5188
ERCOT,Solar,50,2024,0.0972,0.0417,0.13,0.1529,0.0844,0.2015,0.188,0.1286,0.2364,0.5431
ERCOT,Solar,50,2025,0.0722,0.0181,0.1238,0.1113,0.041,0.177,0.1413,0.0735,0.198,0.5871
ERCOT,Solar,100,2020,0.086,0.0794,0.0967,0.1897,0.174,0.2035,0.2451,0.2274,0.2596,0.4896
ERCOT,Solar,100,2021,0.0843,0.0748,0.0973,0.1853,0.1694,0.2016,0.2386,0.2172,0.2544,0.4891
ERCOT,Solar,100,2022,0.0898,0.073,0.1031,0.1837,0.1693,0.2063,0.2335,0.2148,0.2574,0.4892
ERCOT,Solar,100,2023,0.0929,0.0621,0.1105,0.1731,0.1292,0.2125,0.2199,0.1788,0.2581,0.4923
ERCOT,Solar,100,2024,0.0815,0.0393,0.1098,0.1439,0.0862,0.2028,0.1872,0.1336,0.2444,0.5201
ERCOT,Solar,100,2025,0.0607,0.0195,0.1055,0.1043,0.0445,0.1751,0.1398,0.0791,0.2073,0.5752
ERCOT,Solar,200,2020,0.0789,0.0727,0.0894,0.1853,0.1724,0.2003,0.2422,0.2249,0.2585,0.4799
ERCOT,Solar,200,2021,0.0777,0.069,0.0915,0.1801,0.1635,0.1967,0.2351,0.2134,0.2517,0.4782
ERCOT,Solar,200,2022,0.0797,0.0634,0.0933,0.1734,0.1605,0.1938,0.2271,0.2104,0.2475,0.4753
ERCOT,Solar,200,2023,0.0791,0.0512,0.0988,0.1585,0.1228,0.1942,0.2117,0.1789,0.2467,0.4758
ERCOT,Solar,200,2024,0.0691,0.0333,0.0946,0.1311,0.0793,0.187,0.1806,0.1292,0.2414,0.5015
ERCOT,Solar,200,2025,0.051,0.0185,0.0852,0.0961,0.044,0.165,0.1372,0.0804,0.2152,0.5574
ERCOT,Solar,400,2020,0.0707,0.0591,0.0783,0.1763,0.1669,0.192,0.2336,0.2189,0.2526,0.4788
ERCOT,Solar,400,2021,0.07,0.0567,0.0809,0.1698,0.158,0.183,0.2255,0.2065,0.2411,0.4769
ERCOT,Solar,400,2022,0.0702,0.0552,0.0883,0.159,0.1492,0.1769,0.2145,0.1997,0.2327,0.4747
ERCOT,Solar,400,2023,0.0682,0.0403,0.0904,0.1431,0.1102,0.1694,0.1991,0.172,0.2255,0.4737
ERCOT,Solar,400,2024,0.0594,0.0273,0.083,0.118,0.0736,0.1633,0.1706,0.1266,0.2204,0.4922
