q_year,region,tech,mw,event,T_years,state,dc_market
2000.0,MISO,Wind,80.0,1,8.835,IA,0
2000.0,Southeast,Other,2.8,0,25.999,NC,0
2000.0,MISO,Gas,189.0,1,7.403,IN,0
2000.0,PJM,Gas,550.0,2,2.04,MD,0
2000.0,PJM,Gas,550.0,2,2.68,MD,0
2000.0,NYISO,Gas,79.9,2,8.493,NY,0
2000.0,MISO,Gas,240.0,1,1.279,MI,1
2000.0,PJM,Gas,500.0,2,1.443,PA,0
2000.0,MISO,Other,500.0,2,2.913,IN,0
2000.0,PJM,Nuclear,26.0,1,1.465,NJ,0
2000.0,MISO,Other,500.0,2,2.913,IN,0
2000.0,PJM,Nuclear,69.0,1,1.5,NJ,0
2000.0,CAISO,Gas,590.0,1,8.925,CA,0
2000.0,PJM,Gas,37.0,2,0.975,NJ,0
2000.0,PJM,Gas,100.0,2,5.372,PA,0
2000.0,PJM,Gas,9.9,2,1.361,PA,0
2000.0,MISO,Other,95.0,1,1.251,KY,0
2000.0,PJM,Gas,550.0,2,4.271,MD,0
2000.0,PJM,Gas,550.0,2,4.271,MD,0
2000.0,MISO,Gas,260.0,2,3.168,IN,0
2000.0,MISO,Gas,230.0,2,3.159,IA,0
2000.0,PJM,Gas,550.0,2,1.927,PA,0
2000.0,PJM,Gas,1.6,1,0.151,PA,0
2000.0,PJM,Gas,10.0,1,0.014,DE,0
2000.0,MISO,Other,55.0,1,8.126,MN,0
2000.0,PJM,Gas,99.0,1,2.122,PA,0
2000.0,MISO,Gas,505.0,1,3.099,WI,0
2000.0,MISO,Wind,36.0,1,2.053,MN,0
2000.0,NYISO,Gas,79.9,2,8.153,NY,0
2000.0,PJM,Gas,1.0,1,0.038,PA,0
2000.0,MISO,Wind,202.0,2,3.548,MN,0
2000.0,MISO,Wind,2.0,1,4.003,MN,0
2000.0,CAISO,Hybrid,866.0,1,12.964,CA,0
2000.0,PJM,Wind,70.0,1,3.461,PA,0
2000.0,PJM,Gas,432.0,2,2.264,MD,0
2000.0,PJM,Gas,5.0,1,0.071,PA,0
2000.0,MISO,Other,37.0,1,2.943,MN,0
2000.0,MISO,Gas,332.0,1,2.943,MI,0
2000.0,PJM,Gas,8.0,1,0.088,PA,0
2000.0,PJM,Gas,168.0,1,1.087,NJ,0
2000.0,MISO,Other,330.0,2,2.445,WI,0
2000.0,NYISO,Gas,635.0,1,10.212,NY,0
2000.0,MISO,Other,500.0,2,4.255,IL,0
2000.0,MISO,Other,500.0,2,4.255,IL,0
2000.0,MISO,Wind,200.0,1,1.443,IA,0
2000.0,ISO-NE,Other,48.9,2,10.582,CT,0
2000.0,PJM,Gas,10.0,1,3.855,DC,0
2000.0,PJM,Other,25.0,1,3.849,MD,0
2000.0,PJM,Gas,100.0,1,1.763,DE,0
2000.0,PJM,Gas,9.0,2,1.648,NJ,0
2000.0,PJM,Gas,550.0,2,2.749,PA,0
2000.0,PJM,Gas,190.0,2,1.591,DE,0
2000.0,PJM,Gas,550.0,2,2.749,PA,0
2000.0,PJM,Gas,550.0,2,2.749,PA,0
2000.0,PJM,Gas,350.0,1,3.759,PA,0
2000.0,PJM,Gas,550.0,2,1.467,PA,0
2000.0,PJM,Gas,550.0,2,1.467,PA,0
2000.0,PJM,Gas,550.0,2,2.749,PA,0
2000.0,PJM,Gas,550.0,2,2.286,PA,0
2000.0,PJM,Gas,500.0,2,1.654,PA,0
2000.0,PJM,Gas,550.0,2,2.341,NJ,0
2000.0,PJM,Gas,39.0,2,3.129,DE,0
2000.0,PJM,Gas,3.0,1,0.912,MD,0
2000.0,PJM,Gas,500.0,2,1.654,PA,0
2000.0,CAISO,Gas,521.0,1,5.183,CA,0
2000.0,MISO,Other,725.0,2,3.422,WI,0
2000.0,PJM,Other,1.2,1,0.257,PA,0
2000.0,PJM,Gas,750.0,2,1.213,NJ,0
2000.0,PJM,Other,5.0,2,2.188,NJ,0
2000.0,NYISO,Gas,173.0,2,5.974,NY,0
2000.0,MISO,Other,1200.0,2,3.373,WI,0
2000.0,MISO,Other,1300.0,1,2.36,WI,1
2000.0,CAISO,Gas,1156.0,2,10.812,CA,0
2000.0,MISO,Wind,80.0,1,3.748,IA,0
2000.0,PJM,Gas,88.0,1,2.234,PA,0
2000.0,MISO,Other,3.0,1,0.561,SD,0
2000.0,MISO,Wind,80.0,1,4.786,MN,0
2000.0,PJM,Gas,2.5,1,0.298,MD,0
